Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
28072023 002506.354	439.86	375.19	n/a	n/a	n/a	n/a	n/a	n/a	5.58	4.32	n/a	n/a	n/a	n/a	n/a	n/a	0.000	0.000	1
28072023 002517.567	218.95	228.66	n/a	n/a	n/a	n/a	n/a	n/a	2.77	2.61	n/a	n/a	n/a	n/a	n/a	n/a	0.000	1.999	1
28072023 002528.754	170.64	147.64	n/a	n/a	n/a	n/a	n/a	n/a	2.15	1.67	n/a	n/a	n/a	n/a	n/a	n/a	0.000	3.998	1
28072023 002539.967	113.29	110.65	n/a	n/a	n/a	n/a	n/a	n/a	1.42	1.23	n/a	n/a	n/a	n/a	n/a	n/a	0.000	5.996	1
28072023 002551.154	103.51	112.38	n/a	n/a	n/a	n/a	n/a	n/a	1.30	1.26	n/a	n/a	n/a	n/a	n/a	n/a	0.000	7.995	1
28072023 002602.367	104.79	132.11	n/a	n/a	n/a	n/a	n/a	n/a	1.31	1.49	n/a	n/a	n/a	n/a	n/a	n/a	0.000	9.994	1
28072023 002613.554	106.72	104.28	n/a	n/a	n/a	n/a	n/a	n/a	1.34	1.16	n/a	n/a	n/a	n/a	n/a	n/a	0.000	11.993	1
28072023 002624.767	109.45	69.54	n/a	n/a	n/a	n/a	n/a	n/a	1.37	0.76	n/a	n/a	n/a	n/a	n/a	n/a	0.000	13.991	1
28072023 002635.954	68.43	56.07	n/a	n/a	n/a	n/a	n/a	n/a	0.85	0.60	n/a	n/a	n/a	n/a	n/a	n/a	0.000	15.990	1
28072023 002647.167	61.70	27.90	n/a	n/a	n/a	n/a	n/a	n/a	0.76	0.27	n/a	n/a	n/a	n/a	n/a	n/a	0.000	17.989	1
28072023 002658.355	46.83	7.75	n/a	n/a	n/a	n/a	n/a	n/a	0.57	0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	19.988	1
28072023 002709.260	1.58	3.94	n/a	n/a	n/a	n/a	n/a	n/a	-0.00	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	0.000	21.986	1
28072023 002720.268	0.95	3.47	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	23.985	1
28072023 002731.455	0.67	3.18	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	25.984	1
28072023 002742.361	0.77	2.91	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	27.983	1
28072023 002753.369	0.84	2.87	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	29.981	1
28072023 002804.556	0.70	2.88	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	31.980	1
28072023 002815.462	0.76	2.79	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	0.000	33.979	1
28072023 002826.470	0.82	2.58	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	35.978	1
28072023 002837.657	0.39	2.57	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	37.976	1
28072023 002848.562	0.36	2.45	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	39.975	1
28072023 002859.570	0.39	2.56	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	41.974	1
28072023 002910.553	0.56	2.60	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	43.973	1
28072023 002921.663	0.48	2.50	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	45.972	1
28072023 002932.671	0.31	2.50	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	47.970	1
28072023 002943.859	0.31	2.51	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	0.000	49.969	1
