Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 131045.578	783.03	880.02	n/a	n/a	n/a	n/a	n/a	n/a	9.95	10.22	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 131106.775	770.48	855.73	n/a	n/a	n/a	n/a	n/a	n/a	9.79	9.93	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 131127.972	254.08	288.50	n/a	n/a	n/a	n/a	n/a	n/a	3.21	3.31	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 131149.374	198.73	215.79	n/a	n/a	n/a	n/a	n/a	n/a	2.51	2.46	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 131210.775	216.14	221.95	n/a	n/a	n/a	n/a	n/a	n/a	2.73	2.53	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 131232.074	209.66	222.54	n/a	n/a	n/a	n/a	n/a	n/a	2.65	2.54	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 131253.271	209.40	197.54	n/a	n/a	n/a	n/a	n/a	n/a	2.65	2.25	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 131314.391	193.47	182.32	n/a	n/a	n/a	n/a	n/a	n/a	2.44	2.07	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 131335.588	183.01	198.68	n/a	n/a	n/a	n/a	n/a	n/a	2.31	2.26	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 131356.989	168.99	194.10	n/a	n/a	n/a	n/a	n/a	n/a	2.13	2.21	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 131418.391	178.82	157.94	n/a	n/a	n/a	n/a	n/a	n/a	2.26	1.79	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 131439.793	133.78	109.71	n/a	n/a	n/a	n/a	n/a	n/a	1.68	1.22	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 131501.194	98.83	71.37	n/a	n/a	n/a	n/a	n/a	n/a	1.24	0.78	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 131522.570	71.39	65.23	n/a	n/a	n/a	n/a	n/a	n/a	0.89	0.70	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 131543.972	62.39	43.03	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.45	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 131605.373	58.16	50.71	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.54	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 131626.775	50.75	51.32	n/a	n/a	n/a	n/a	n/a	n/a	0.62	0.54	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 131648.177	57.09	51.51	n/a	n/a	n/a	n/a	n/a	n/a	0.71	0.54	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 131709.578	61.07	54.26	n/a	n/a	n/a	n/a	n/a	n/a	0.76	0.58	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 131730.877	66.03	54.96	n/a	n/a	n/a	n/a	n/a	n/a	0.82	0.58	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 131752.074	67.97	39.46	n/a	n/a	n/a	n/a	n/a	n/a	0.84	0.40	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 131813.271	63.98	16.40	n/a	n/a	n/a	n/a	n/a	n/a	0.79	0.13	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 131834.672	59.31	3.30	n/a	n/a	n/a	n/a	n/a	n/a	0.73	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 131855.972	51.32	17.13	n/a	n/a	n/a	n/a	n/a	n/a	0.63	0.14	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 131917.194	41.01	27.37	n/a	n/a	n/a	n/a	n/a	n/a	0.50	0.26	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 131938.289	41.56	34.12	n/a	n/a	n/a	n/a	n/a	n/a	0.51	0.34	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 141100.580	839.43	898.61	n/a	n/a	n/a	n/a	n/a	n/a	10.67	10.43	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 141121.879	801.08	874.50	n/a	n/a	n/a	n/a	n/a	n/a	10.18	10.15	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 141143.281	324.62	282.69	n/a	n/a	n/a	n/a	n/a	n/a	4.11	3.24	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 141204.682	248.34	238.48	n/a	n/a	n/a	n/a	n/a	n/a	3.14	2.73	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 141226.084	270.17	262.31	n/a	n/a	n/a	n/a	n/a	n/a	3.42	3.01	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 141247.485	270.27	242.52	n/a	n/a	n/a	n/a	n/a	n/a	3.42	2.77	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 141308.887	230.50	229.77	n/a	n/a	n/a	n/a	n/a	n/a	2.91	2.63	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
