Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 213540.394	424.06	419.42	n/a	n/a	n/a	n/a	n/a	n/a	5.38	4.84	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-9.942	1
29072023 213601.597	323.85	301.98	n/a	n/a	n/a	n/a	n/a	n/a	4.10	3.47	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-9.942	1
29072023 213622.710	381.70	338.62	n/a	n/a	n/a	n/a	n/a	n/a	4.84	3.90	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-9.942	1
29072023 213643.907	358.96	335.74	n/a	n/a	n/a	n/a	n/a	n/a	4.55	3.86	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-9.942	1
29072023 213705.206	302.20	264.47	n/a	n/a	n/a	n/a	n/a	n/a	3.83	3.03	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-9.942	1
29072023 213726.403	333.29	282.43	n/a	n/a	n/a	n/a	n/a	n/a	4.22	3.24	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-9.942	1
29072023 213747.497	262.59	230.38	n/a	n/a	n/a	n/a	n/a	n/a	3.32	2.63	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-9.942	1
29072023 213808.694	231.42	221.11	n/a	n/a	n/a	n/a	n/a	n/a	2.93	2.52	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-9.942	1
29072023 213829.813	211.71	166.97	n/a	n/a	n/a	n/a	n/a	n/a	2.68	1.89	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-9.942	1
29072023 213850.908	125.12	126.24	n/a	n/a	n/a	n/a	n/a	n/a	1.57	1.42	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
29072023 213912.104	124.42	94.43	n/a	n/a	n/a	n/a	n/a	n/a	1.56	1.05	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
